 ! Swift/XRT lightcurve of trigger: 848890, name: GRB 180720B
 ! T0 for this burst is Swift MET=553789325.9 s, = 2018 Jul 20 at 14:21:44.587 UT
 ! Data covers 0.3-10 keV
 ! The data are in 5 columns:  ! time, time error (+ve), time error (-ve), source flux, source error
 ! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 ! For a detailed description of the file, see
 ! http://www.swift.ac.uk/xrt_curves/docs.php
 ! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00848890
 ! BINMODE: GRB-like (counts)

! WTSLEW data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
165.489	0.239	-0.263	2.99329836e-08	3.9116571e-09	-9.437956e+01
165.990	0.239	-0.263	2.90760405e-08	3.84791667e-09	-9.299978e+01
166.478	0.275	-0.248	2.70674001e-08	3.62981541e-09	-8.787410e+01
167.089	0.400	-0.337	1.87245435e-08	2.58711492e-09	-6.283394e+01
167.820	0.336	-0.331	2.1403785e-08	2.8378194e-09	-6.869055e+01
168.503	0.352	-0.347	1.90267467e-08	2.73783276e-09	-6.676180e+01
169.172	0.329	-0.316	2.15444034e-08	2.93044479e-09	-7.128289e+01
169.810	0.296	-0.309	2.30021571e-08	3.10990134e-09	-7.587833e+01
170.361	0.252	-0.255	2.99845143e-08	3.87877347e-09	-9.435946e+01
170.923	0.319	-0.309	2.23490124e-08	2.97264201e-09	-7.271929e+01
171.553	0.327	-0.312	2.15932002e-08	2.91667701e-09	-7.170369e+01
172.173	0.266	-0.293	2.49062892e-08	3.31056375e-09	-8.165418e+01
172.738	0.298	-0.300	2.36839746e-08	3.10849734e-09	-7.612851e+01
173.449	0.308	-0.413	1.98291717e-08	2.62528656e-09	-6.369219e+01
174.035	0.311	-0.278	2.37802383e-08	3.17791578e-09	-7.706803e+01
174.689	0.306	-0.343	2.19369423e-08	2.88925026e-09	-6.975825e+01
175.371	0.327	-0.376	1.99271904e-08	2.64507906e-09	-6.431749e+01
175.994	0.394	-0.296	1.97627313e-08	2.71679187e-09	-6.611185e+01
176.746	0.338	-0.358	1.99579185e-08	2.67785271e-09	-6.519134e+01
177.400	0.328	-0.316	2.11813368e-08	2.9250468e-09	-7.105546e+01
178.042	0.336	-0.314	2.10072681e-08	2.8882074e-09	-7.027791e+01
178.720	0.335	-0.343	2.03031816e-08	2.73996372e-09	-6.691898e+01
179.433	0.344	-0.378	1.90530054e-08	2.5558767e-09	-6.264339e+01
180.271	0.355	-0.493	1.6359291e-08	2.20777791e-09	-5.359213e+01
180.945	0.338	-0.319	2.09634438e-08	2.83077717e-09	-6.911045e+01
181.683	0.339	-0.401	1.87580796e-08	2.43690291e-09	-6.073277e+01
182.434	0.439	-0.412	1.6183401e-08	2.11740087e-09	-5.299739e+01
183.274	0.376	-0.401	1.73909268e-08	2.33891736e-09	-5.825007e+01
184.036	0.394	-0.385	1.75411821e-08	2.31261927e-09	-5.811221e+01
184.849	0.405	-0.419	1.66326537e-08	2.18273601e-09	-5.518893e+01
185.634	0.435	-0.380	1.66654215e-08	2.20823538e-09	-5.595362e+01
186.422	0.399	-0.354	1.80443367e-08	2.43642321e-09	-6.046840e+01
187.204	0.416	-0.383	1.76066982e-08	2.30282286e-09	-5.652878e+01
